Console,GameName,Review,Score,Score_Category
PC,Emergency 3 Review,Mediocre,5,Mediocre (5-5.9)
PC,Half-Life 2: Episode One Review,Great,8,Great (8-8.9)
PSP,Lemmings Review,Great,8,Great (8-8.9)
GBA,2006 FIFA World Cup Review,Poor,4,Poor (4-4.9)
DS,X-Men: The Official Game Review,Poor,4,Poor (4-4.9)
GBA,X-Men: The Official Game Review,Fair,6,Fair (6-6.9)
PC,Ricochet Lost Worlds Recharged Review,Great,8,Great (8-8.9)
PC,SpongeBob Squarepants Collapse Review,Mediocre,5,Mediocre (5-5.9)
PC,Super Text Twist Review,Good,7,Good (7-7.9)
PC,Wik & the Fable of Souls Review,Superb,9,Excellent (9-10)
PC,Zzed Review,Mediocre,5,Mediocre (5-5.9)
PC,Zuma Deluxe Review,Great,8,Great (8-8.9)
PC,Airstrike II: Gulf Thunder Review,Great,8,Great (8-8.9)
X360,Hitman: Blood Money Review,Great,8,Great (8-8.9)
XBOX,Hitman: Blood Money Review,Great,8,Great (8-8.9)
PS2,Hitman: Blood Money Review,Great,8,Great (8-8.9)
PC,Hitman: Blood Money Review,Great,8,Great (8-8.9)
PSP,2006 FIFA World Cup Review,Great,8,Great (8-8.9)
PSP,Race Driver 2006 Review,Great,8,Great (8-8.9)
PSP,Field Commander Review,Great,8,Great (8-8.9)
PS2,Jaws Unleashed Review,Bad,3,Bad (3-3.9)
XBOX,Jaws Unleashed Review,Bad,3,Bad (3-3.9)
XBOX,Rogue Trooper Review,Fair,6,Fair (6-6.9)
PS2,Rogue Trooper Review,Fair,6,Fair (6-6.9)
PC,Rogue Trooper Review,Fair,6,Fair (6-6.9)
PC,Desperados 2: Cooper's Revenge Review,Fair,6,Fair (6-6.9)
X360,Rockstar Games Presents Table Tennis Review,Great,8,Great (8-8.9)
PS2,Steambot Chronicles Review,Good,7,Good (7-7.9)
PS2,X-Men: The Official Game Review,Mediocre,5,Mediocre (5-5.9)
GC,X-Men: The Official Game Review,Mediocre,5,Mediocre (5-5.9)
XBOX,X-Men: The Official Game Review,Mediocre,5,Mediocre (5-5.9)
X360,X-Men: The Official Game Review,Mediocre,5,Mediocre (5-5.9)
PC,Heroes of Might and Magic V Review,Great,8,Great (8-8.9)
PSP,Monster Hunter Freedom Review,Fair,6,Fair (6-6.9)
PS2,The Hustle: Detroit Streets Review,Poor,4,Poor (4-4.9)
XBOX,The Hustle: Detroit Streets Review,Poor,4,Poor (4-4.9)
PC,The Da Vinci Code Review,Fair,6,Fair (6-6.9)
XBOX,The Da Vinci Code Review,Fair,6,Fair (6-6.9)
PS2,The Da Vinci Code Review,Fair,6,Fair (6-6.9)
XBOX,Army Men: Major Malfunction Review,Bad,3,Bad (3-3.9)
PC,SpellForce 2: Shadow Wars Review,Great,8,Great (8-8.9)
PSP,NBA Ballers Rebound Review,Good,7,Good (7-7.9)
PC,X-Men: The Official Game Review,Mediocre,5,Mediocre (5-5.9)
GC,Over the Hedge Review,Mediocre,5,Mediocre (5-5.9)
PC,Over the Hedge Review,Mediocre,5,Mediocre (5-5.9)
PS2,Over the Hedge Review,Mediocre,5,Mediocre (5-5.9)
XBOX,Over the Hedge Review,Mediocre,5,Mediocre (5-5.9)
PC,2006 FIFA World Cup Review,Great,8,Great (8-8.9)
GC,2006 FIFA World Cup Review,Great,8,Great (8-8.9)
PC,Paradise Review,Mediocre,5,Mediocre (5-5.9)
PC,SiN Episodes: Emergence Review,Good,7,Good (7-7.9)
XBOX,Championship Bowling Review,Mediocre,5,Mediocre (5-5.9)
DS,Blades of Thunder II Review,Bad,3,Bad (3-3.9)
DS,Top Gun Review,Bad,3,Bad (3-3.9)
PS,40 Winks Review,Poor,4,Poor (4-4.9)
DC,Bust-A-Move 4 Review,Good,7,Good (7-7.9)
GBC,Casper GBC Review,Poor,4,Poor (4-4.9)
PS,Colony Wars: Red Sun Review,Good,7,Good (7-7.9)
GBC,Driver Review,Good,7,Good (7-7.9)
N64,Excitebike 64 Review,Great,8,Great (8-8.9)
PS,Expendable (PS) Review,Fair,6,Fair (6-6.9)
DC,F1 World Grand Prix Review,Good,7,Good (7-7.9)
DC,Gauntlet Legends DC Review,Poor,4,Poor (4-4.9)
PS,Grind Session Review,Superb,9,Excellent (9-10)
DC,Rainbow Six DC Review,Great,8,Great (8-8.9)
PS,Spec Ops: Stealth Patrol Review,Poor,4,Poor (4-4.9)
GBC,Test Drive Le Mans Review,Great,8,Great (8-8.9)
PC,Lemmings Revolution Review,Good,7,Good (7-7.9)
PC,The New York Times Crossword Puzzles - Review,Fair,6,Fair (6-6.9)
PS,Mr. Driller Review,Fair,6,Fair (6-6.9)
PC,Hot Wheels Micro Racers Review,Fair,6,Fair (6-6.9)
PC,Martian Gothic: Unification Review,Mediocre,5,Mediocre (5-5.9)
GBC,The Road to El Dorado Review,Good,7,Good (7-7.9)
PC,Flying Heroes Review,Good,7,Good (7-7.9)
PC,Motocross Madness 2 Review,Great,8,Great (8-8.9)
PC,Who Wants to Be a Millionaire 2nd Edition Review,Fair,6,Fair (6-6.9)
PS,Runabout 2 Review,Mediocre,5,Mediocre (5-5.9)
PC,SimCity 3000 Unlimited Review,Good,7,Good (7-7.9)
DC,Industrial Spy Review,Bad,3,Bad (3-3.9)
PS,Grudge Warriors Review,Mediocre,5,Mediocre (5-5.9)
PS2,Sky Surfer Import Review,Bad,3,Bad (3-3.9)
N64,Bomberman 64: The Second Attack Review,Mediocre,5,Mediocre (5-5.9)
DC,Space Channel 5 Review,Good,7,Good (7-7.9)
GBC,1942 Review,Poor,4,Poor (4-4.9)
PS2,All Star Pro-Wrestling Import Review,Poor,4,Poor (4-4.9)
PS,NGEN Racing Review,Good,7,Good (7-7.9)
DC,Nightmare Creatures 2 Review,Mediocre,5,Mediocre (5-5.9)
N64,PGA European Tour Review,Poor,4,Poor (4-4.9)
PS,Rhapsody: A Musical Adventure Review,Mediocre,5,Mediocre (5-5.9)
DC,Striker Pro 2000 Review,Fair,6,Fair (6-6.9)
PS,Striker Pro 2000 Review,Fair,6,Fair (6-6.9)
GBC,Triple Play 2001 Review,Bad,3,Bad (3-3.9)
PC,Ultima Online: Renaissance Review,Good,7,Good (7-7.9)
GBC,Wacky Races Review,Great,8,Great (8-8.9)
GBC,All-Star Baseball 2001 Review,Good,7,Good (7-7.9)
GBC,Chase HQ: Secret Police Review,Fair,6,Fair (6-6.9)
N64,International Track & Field 2000 Review,Poor,4,Poor (4-4.9)
GBC,Mask of Zorro Review,Bad,3,Bad (3-3.9)
PC,BreakNeck Review,Fair,6,Fair (6-6.9)
GBC,Asterix: The Search for Dogmatix Import Review,Good,7,Good (7-7.9)
PC,Dracula Resurrection Review,Fair,6,Fair (6-6.9)
GBC,Looney Tunes Collector: Alert! Review,Fair,6,Fair (6-6.9)
NGPC,Cotton (Import) Review,Good,7,Good (7-7.9)
GBC,Crystalis Review,Great,8,Great (8-8.9)
N64,Asteroids Hyper 64 Review,Poor,4,Poor (4-4.9)
PC,Star Trek: Klingon Academy Review,Fair,6,Fair (6-6.9)
DC,South Park Rally Review,Terrible,2,Terrible (2-2.9)
N64,Army Men: Air Combat Review,Good,7,Good (7-7.9)
N64,Carmageddon 64 Review,Terrible,2,Terrible (2-2.9)
N64,Indy Racing 2000 Review,Good,7,Good (7-7.9)
DC,Mag Force Racing Review,Fair,6,Fair (6-6.9)
PC,Metal Fatigue Review,Fair,6,Fair (6-6.9)
PS,Mortal Kombat Special Forces Review,Terrible,2,Terrible (2-2.9)
GBC,NASCAR 2000 Review,Good,7,Good (7-7.9)
PS,Pro Pinball: Big Race USA Review,Fair,6,Fair (6-6.9)
DC,Toy Story 2 Review,Mediocre,5,Mediocre (5-5.9)
GBC,Turok 3: Shadow of Oblivion Review,Good,7,Good (7-7.9)
